 28-14606-04        Tebo-ICT,  license #BoJie
R03_RR       15.7213    6.2631   90.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R399          8.6613    7.5381    0.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R401          7.5113    7.0631   90.0  AA   (T)  'R0402-S0', 'R0402-S0'
R404          4.8850    7.5906   90.0  AA   (T)  'R0402-S0', 'R0402-S0'
R405          4.9250    7.5906   90.0  AA   (T)  'R0402-S0', 'R0402-S0'
R409          4.7191    6.9244  270.0  AA   (T)  'R0402-S0', 'R0402-S0'
R410         10.8063    7.7131  180.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R413          4.7591    6.9244  270.0  AA   (T)  'R0402-S0', 'R0402-S0'
R415         12.4563    3.8281   90.0  AA   (T)  'R1206-S0', 'R1206-S0'
R428         10.7213    8.2881  270.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R436          9.5973    3.2281  180.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R437         11.1773    3.2281  180.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R438         12.7573    3.2281  180.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R439         14.3373    3.2281  180.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R443          0.6363    5.8181  180.0  AA   (T)  'R0402-S0', 'R0402-S0'
